;marca;preco
0;Gabinete Gamer Rise Mode Glass 06X, Mid Tower, Lateral em Vidro Fumê e Frontal em Vidro Temperado, Preto - RM-CA-06X-FB;R$ 279,99
1;Gabinete Gamer Rise Mode Galaxy Glass, Mid Tower, Lateral e Frontal em Vidro Temperado, Preto - RM-GA-GG-FB;R$ 799,99
2;Gabinete Fortrek, ATX, Preto - SC501BK;R$ 89,99
3;Gabinete Rise Mode Office 01, mATX, Preto - RM-GA-OF-FB;R$ 109,99
4;Gabinete Gamer Rise Mode Galaxy Glass, Mid Tower, Lateral e Frontal em Vidro Temperado, Branco - RM-GA-GG-FW;R$ 799,99
5;Gabinete Gamer Rise Mode Z1 Glass, RGB, Lateral em Vidro Fumê, Preto - RM-Z01-01-FB;R$ 179,99
6;Gabinete Gamer Rise Mode Z2 Glass, Mid Tower, Lateral em Vidro Temperado, Preto - RM-Z02-02-FB;R$ 169,99
7;Gabinete Gamer Rise Mode Glass 06X Frost, Mid Tower, Frontal e Lateral em Vidro Temperado, Branco - RM-WT-06X-FW;R$ 199,99
8;Gabinete Gamer Redragon Diamond Storm Pro, Mid tower, RGB, Lateral e Frontal em Vidro Temperado, 3 Coolers RGB Pro, Preto - CA903 PRO;R$ 269,99
9;Gabinete Gamer Rise Mode X5 Glass, RGB, Lateral em Vidro Fumê, Preto - RM-X5-05-FB;R$ 329,99
10;Gabinete Gamer Rise Mode X4 Glass, Barra de LED RGB, Lateral em Vidro Fumê, Preto - RM-X4-04-FB;R$ 299,99
11;Gabinete Gamer Rise Mode Galaxy Glass M, Mini Tower, Lateral e Frontal em Vidro Temperado, Sem Fans, Branco - RM-GA-GGM-FW;R$ 799,99
12;Gabinete Gamer Husky Gaming Avalanche, Preto, Mid Tower, 3 Fans RGB, Lateral de Vidro Temperado - HGMC002;R$ 249,99
13;Gabinete Gamer Bluecase Mini Tower, Sem Fonte, RGB, mATX, mITX, 1x Fan, Preto - BG-041;R$ 89,99
14;Gabinete Corsair 110R, Mid Tower, ATX, Lateral em Vidro Temperado, Com FAN - CC-9011183-WW;R$ 519,99
15;Gabinete Gamer Brazil PC BPC-C3147, Mid Tower,  ATX / Micro-ATX, Com Lateral de Vidro, Preto;R$ 148,90
16;Gabinete Gamer Rise Mode Galaxy Glass Standard, Mid Tower, Lateral e Frontal em Vidro Temperado, Sem Fans, Branco - RM-GA-GGST-FW;R$ 849,99
17;Gabinete Gamer Husky Frost, Mid Tower, ARGB, com FAN, Porta em Vidro Temperado - HGMC004;R$ 449,99
18;Gabinete Gamer Rise Mode Galaxy Glass M, Mini Tower, Lateral e Frontal em Vidro Temperado, Sem Fans, Preto - RM-GA-GGM-FB;R$ 799,99
19;Gabinete Gamer Rise Mode Z2 Glass, RGB, Lateral em Vidro Fumê, 1x Fan, Preto - RM-Z02-02-RGB;R$ 159,99
20;Gabinete Gamer Corsair Carbide Series 175R, RGB, Mid-Tower, Lateral em Vidro Temperado, 1 FAN, Preto - CC-9011171-WW;R$ 299,99
21;Gabinete Gamer Sharkoon TG4, RGB, Mid Tower, Lateral em Vidro Temperado, 4x Fans RGB, Preto - TG4 RGB;R$ 419,99
22;Gabinete Gamer Rise Mode Galaxy Glass, Mid Tower, Lateral e Frontal em Vidro Temperado, Rosa - RM-GA-GG-PK;R$ 399,99
23;Gabinete Gamer Corsair Carbide Series Spec Delta, Mid-Tower, RGB, Lateral em Vidro Temperado, Preto - CC-9011166-WW;R$ 429,99
24;Gabinete NOX Virtus, Mini Tower, USB 3.0, Preto - NXVIRTUS;R$ 229,99
25;Gabinete Gamer Redragon Grapple, Mid Tower, RGB, Lateral em Vidro, Preto - GC-607BK;R$ 499,99
26;Gabinete Gamer Rise Mode Galaxy Glass Sound, Mid Tower, RGB, LED, Lateral e Frontal em Vidro Temperado, Sem Fans, Branco - RM-GA-GGS-FW;R$ 599,99
27;Gabinete Redragon GRAPPLE, Branco - GC-607WH;R$ 279,99
28;Gabinete Gamer Corsair 4000D Airflow, Mid-Tower, ATX, Lateral em Vidro Temperado, Com FAN, Preto - CC-9011200-WW;R$ 849,99
29;Gabinete Gamer T-Dagger RGB, Mid Tower, Lateral em Acrílico, Preto - TGC-P02B;R$ 179,99
30;Gabinete Gamer NZXT H510 Elite, Mid Tower, RGB, com FAN, Lateral e Frontal em Vidro, Branco - CA-H510E-W1;R$ 999,99
31;Gabinete Gamer Liketec One, Mid Tower, RGB, ATX, Preto - GL-ONE-1;R$ 119,99
32;Gabinete Gamer Corsair 275R Airflow, Mid-Tower, ATX, Lateral em Vidro Temperado, Com FAN, Branco - CC-9011182-WW;R$ 449,99
33;Gabinete Gamer Cooler Master MasterBox MB320L, Mini Tower, com FAN, Lateral em Vidro - MCB-B320L-KGNN-S00;R$ 279,99
34;Fita de LED Prime, ARGB, XPG Strip - 75260088;R$ 89,99
35;Gabinete Gamer NOX Hummer TGM, RGB Rainbow, Lateral e Frontal em Vidro, 4x Coolers, Preto - NXHUMMERTGM;R$ 349,99
36;Gabinete Gamer Corsair ICUE 220T TG, Mid-Tower, ATX, RGB, Lateral e Frontal em Vidro Temperado, Com FAN, Branco - CC-9011191;R$ 749,99
37;Gabinete Gamer Corsair ICUE 220T TG, RGB, Mid-Tower, ATX, Lateral e Frontal em Vidro Temperado, Com FAN, Preto - CC-9011190;R$ 599,99
38;Gabinete Gamer Husky Polar, Mid Tower, ARGB, com FAN, Porta em Vidro Temperado - GA-HPO-140;R$ 469,99
39;Gabinete Gamer Worldpc Z22B, Full Tower, ATX, Lateral em Vidro Temperado Escurecido, Preto;R$ 289,00
40;Gabinete Gamer Cooler Master MasterBox MB311L, Mini Tower, com FAN, Lateral em Vidro - MCB-B311L-KGNN-S00;R$ 369,99
41;Gabinete Hayom Micro Atx S/fonte Gb1720 Preto;R$ 101,76
42;Gabinete Gamer Corsair iCUE 220T Airflow, Mid-Tower, ATX, RGB, Lateral em Vidro Temperado, Preto - CC-9011173-WW;R$ 449,99
43;Gabinete Gamer NZXT H510 Flow, MID Tower, com FAN, Lateral em Vidro Temperado, Preto - CA-H52FB-01;R$ 899,99
44;Gabinete Gamer Cooler Master MasterBox TD500 Crystal, Mid Tower, ARGB, com FAN, Lateral em Vidro - MCB-D500D-KGNN-SAU;R$ 949,99
45;Gabinete Gamer Hayom GB1722, Mid Tower, LED RGB, ATX, Lateral em Vidro Temperado, Preto - GB.17.10.22;R$ 139,99
46;Gabinete Gamer Redragon Superion, Mid Tower, Lateral em Vidro Temperado, Preto - GC-MB211;R$ 249,99
47;Gabinete Sharkoon REV100, Mid Tower, RGB, Lateral em Vidro Temperado, 1x Cooler Fan, Preto - REV100;R$ 299,99
48;Gabinete Gamer Corsair 4000D Airflow, Mid Tower, ATX, Lateral em Vidro Temperado, com Fan, Branco - CC-9011201-WW;R$ 549,99
49;Gabinete Sharkoon TG5, ATX,  LED Vermelho, Lateral  e Frontal em Vidro Temperado,4x Cooler Fan, Preto - TG5;R$ 429,99
50;Gabinete Gamer Bluecase Mini Tower, Sem Fonte, RGB, mATX, mITX, Lateral Acrílico, 1x Fan, Preto - BG-042;R$ 119,99
51;Gabinete Gamer Rise Mode Galaxy Glass Sound, Mid Tower, RGB, LED, Lateral e Frontal em Vidro Temperado, Sem Fans, Preto - RM-GA-GGS-FB;R$ 699,99
52;Gabinete NOX MODUS ATX, USB 3.0, 1 FAN Incluso, Janela Lateral Transparente,  Azul  NXMODUSB;R$ 229,99
53;Gabinete Gamer Mymax Lion, Mid Tower, LED RGB, ATX, M-ATX e ITX, Cooler, USB 3.0, Rosa;R$ 221,31
